"emp_no","first_name","last_name","dept_no","title","from_date","to_date"
10095,"Hilari","Morton","d007","Senior Staff","1994-03-10","9999-01-01"
10095,"Hilari","Morton","d007","Staff","1994-03-10","9999-01-01"
10122,"Ohad","Esposito","d005","Technique Leader","1998-08-06","9999-01-01"
10291,"Dipayan","Seghrouchni","d007","Senior Staff","1987-03-30","9999-01-01"
10291,"Dipayan","Seghrouchni","d007","Staff","1987-03-30","9999-01-01"
10476,"Kokou","Iisaka","d008","Senior Staff","1987-09-20","9999-01-01"
10476,"Kokou","Iisaka","d008","Staff","1987-09-20","9999-01-01"
10663,"Teunis","Noriega","d004","Technique Leader","1999-02-12","9999-01-01"
10762,"Lech","Himler","d008","Senior Staff","1992-01-21","9999-01-01"
10762,"Lech","Himler","d008","Staff","1992-01-21","9999-01-01"
10933,"Juyoung","Seghrouchni","d004","Senior Engineer","1993-08-02","9999-01-01"
12155,"Keiichiro","Glinert","d004","Engineer","1993-09-16","9999-01-01"
12155,"Keiichiro","Glinert","d004","Senior Engineer","1993-09-16","9999-01-01"
12408,"Rasiah","Sudkamp","d005","Senior Engineer","1995-04-18","9999-01-01"
12643,"Morrie","Schurmann","d002","Staff","1998-12-31","9999-01-01"
13499,"Kazuhiko","Sidou","d004","Technique Leader","1991-09-01","9999-01-01"
14075,"Denny","Tchuente","d005","Assistant Engineer","1991-05-30","9999-01-01"
14075,"Denny","Tchuente","d005","Engineer","1991-05-30","9999-01-01"
14104,"Sudhanshu","Demian","d003","Senior Staff","1994-07-23","9999-01-01"
14104,"Sudhanshu","Demian","d003","Staff","1994-07-23","9999-01-01"
14127,"Magdalena","Cannard","d004","Engineer","1994-04-22","9999-01-01"
14127,"Magdalena","Cannard","d004","Senior Engineer","1994-04-22","9999-01-01"
14158,"Caolyn","Setiz","d007","Senior Staff","1990-02-06","9999-01-01"
14158,"Caolyn","Setiz","d007","Staff","1990-02-06","9999-01-01"
14476,"Sastry","Marrevee","d004","Engineer","1999-09-25","9999-01-01"
14907,"Nakhoon","Luga","d007","Senior Staff","1986-12-18","9999-01-01"
14907,"Nakhoon","Luga","d007","Staff","1986-12-18","9999-01-01"
15050,"Nikolaos","Kruskal","d004","Engineer","1990-12-17","9999-01-01"
15050,"Nikolaos","Kruskal","d004","Senior Engineer","1990-12-17","9999-01-01"
15058,"Bouchung","Bugrara","d002","Senior Staff","1990-06-18","9999-01-01"
15058,"Bouchung","Bugrara","d002","Staff","1990-06-18","9999-01-01"
15413,"Arvin","Rabejac","d005","Engineer","1994-01-01","9999-01-01"
15413,"Arvin","Rabejac","d005","Senior Engineer","1994-01-01","9999-01-01"
16461,"Remmert","Schahn","d007","Senior Staff","1986-09-06","9999-01-01"
16461,"Remmert","Schahn","d007","Staff","1986-09-06","9999-01-01"
16528,"Gaurav","Swick","d004","Assistant Engineer","1996-05-07","9999-01-01"
16528,"Gaurav","Swick","d004","Engineer","1996-05-07","9999-01-01"
17013,"Morris","Garigliano","d002","Senior Staff","1995-05-24","9999-01-01"
17013,"Morris","Garigliano","d002","Staff","1995-05-24","9999-01-01"
17206,"Berry","DeMori","d004","Engineer","1992-12-27","9999-01-01"
17206,"Berry","DeMori","d004","Senior Engineer","1992-12-27","9999-01-01"
17369,"Yaghout","Kenevan","d004","Engineer","2000-09-15","9999-01-01"
17369,"Yaghout","Kenevan","d004","Senior Engineer","2000-09-15","9999-01-01"
17447,"Zengping","Boreale","d007","Staff","1998-12-16","9999-01-01"
17731,"Gennady","Roison","d005","Assistant Engineer","1989-12-06","9999-01-01"
17731,"Gennady","Roison","d005","Engineer","1989-12-06","9999-01-01"
17970,"Filipp","Carrere","d004","Technique Leader","1989-01-09","9999-01-01"
17988,"Mabhin","Calkin","d004","Engineer","1989-11-30","9999-01-01"
17988,"Mabhin","Calkin","d004","Senior Engineer","1989-11-30","9999-01-01"
18021,"Adil","Matzke","d005","Engineer","1987-05-08","9999-01-01"
18021,"Adil","Matzke","d005","Senior Engineer","1987-05-08","9999-01-01"
18424,"Filipp","Rousseau","d005","Engineer","1995-06-07","9999-01-01"
18424,"Filipp","Rousseau","d005","Senior Engineer","1995-06-07","9999-01-01"
18583,"Stafford","Honglei","d009","Staff","1998-08-16","9999-01-01"
18617,"Surveyors","Crouzet","d003","Senior Staff","1989-04-24","9999-01-01"
18617,"Surveyors","Crouzet","d003","Staff","1989-04-24","9999-01-01"
18810,"Taiji","Jarecki","d005","Engineer","1991-06-27","9999-01-01"
18810,"Taiji","Jarecki","d005","Senior Engineer","1991-06-27","9999-01-01"
19236,"Elzbieta","Morris","d004","Engineer","1988-07-12","9999-01-01"
19236,"Elzbieta","Morris","d004","Senior Engineer","1988-07-12","9999-01-01"
19350,"Satoru","Yoshizawa","d009","Senior Staff","1994-03-27","9999-01-01"
19350,"Satoru","Yoshizawa","d009","Staff","1994-03-27","9999-01-01"
19803,"Ziva","Kowalchuk","d005","Engineer","1987-06-13","9999-01-01"
19803,"Ziva","Kowalchuk","d005","Senior Engineer","1987-06-13","9999-01-01"
20100,"Utz","Heuter","d001","Senior Staff","1986-06-15","9999-01-01"
20100,"Utz","Heuter","d001","Staff","1986-06-15","9999-01-01"
20128,"Kazunori","Peak","d009","Senior Staff","1999-08-13","9999-01-01"
20129,"Rafael","Skafidas","d004","Engineer","1991-03-28","9999-01-01"
20129,"Rafael","Skafidas","d004","Senior Engineer","1991-03-28","9999-01-01"
20248,"Vidar","Demri","d009","Staff","1999-12-31","9999-01-01"
20313,"Candida","Benveniste","d004","Engineer","1999-01-20","9999-01-01"
20500,"Christoph","Trystram","d009","Senior Staff","1993-10-15","9999-01-01"
20500,"Christoph","Trystram","d009","Staff","1993-10-15","9999-01-01"
20885,"Otmar","Rothenberg","d004","Engineer","1989-03-14","9999-01-01"
20885,"Otmar","Rothenberg","d004","Senior Engineer","1989-03-14","9999-01-01"
21181,"Jianhui","Cangellaris","d004","Assistant Engineer","1991-10-06","9999-01-01"
21181,"Jianhui","Cangellaris","d004","Engineer","1991-10-06","9999-01-01"
21188,"Piyush","Danecki","d005","Engineer","2000-01-08","9999-01-01"
21546,"Yongmin","Lanteri","d001","Senior Staff","2002-03-19","9999-01-01"
21843,"Karsten","Azadmanesh","d005","Senior Engineer","1985-11-29","9999-01-01"
21909,"Mohammed","Brizzi","d007","Senior Staff","1991-12-28","9999-01-01"
21909,"Mohammed","Brizzi","d007","Staff","1991-12-28","9999-01-01"
22185,"Huai","Birch","d004","Assistant Engineer","2002-06-12","9999-01-01"
22185,"Huai","Birch","d004","Engineer","2002-06-12","9999-01-01"
22415,"Perla","Jumpertz","d007","Senior Staff","1994-08-24","9999-01-01"
22451,"Jasminko","Bresenham","d005","Senior Staff","1994-01-19","9999-01-01"
22451,"Jasminko","Bresenham","d005","Staff","1994-01-19","9999-01-01"
22455,"Barry","Unno","d001","Senior Staff","1990-11-16","9999-01-01"
22455,"Barry","Unno","d001","Staff","1990-11-16","9999-01-01"
22926,"Manibrata","Genther","d004","Engineer","1988-01-15","9999-01-01"
22926,"Manibrata","Genther","d004","Senior Engineer","1988-01-15","9999-01-01"
23396,"Hilari","Fairtlough","d004","Technique Leader","1986-12-15","9999-01-01"
24080,"Jaana","Perez","d005","Technique Leader","1996-03-11","9999-01-01"
24205,"Roddy","Rubsam","d005","Senior Engineer","1993-09-19","9999-01-01"
24377,"Lubomir","Wroclawski","d006","Engineer","1993-07-25","9999-01-01"
24377,"Lubomir","Wroclawski","d006","Senior Engineer","1993-07-25","9999-01-01"
24394,"Zhonghui","Conta","d007","Staff","1994-09-10","9999-01-01"
24553,"Anwar","Passafiume","d007","Senior Staff","1987-01-30","9999-01-01"
24553,"Anwar","Passafiume","d007","Staff","1987-01-30","9999-01-01"
24571,"Cordelia","Gischer","d004","Engineer","1989-03-14","9999-01-01"
24571,"Cordelia","Gischer","d004","Senior Engineer","1989-03-14","9999-01-01"
25488,"Ingmar","Basawa","d008","Senior Staff","1991-11-09","9999-01-01"
25488,"Ingmar","Basawa","d008","Staff","1991-11-09","9999-01-01"
26629,"Nevin","Rodham","d008","Senior Staff","1998-12-14","9999-01-01"
26671,"Jiakeng","Kalorkoti","d005","Engineer","1994-12-25","9999-01-01"
26671,"Jiakeng","Kalorkoti","d005","Senior Engineer","1994-12-25","9999-01-01"
26788,"Zongyan","Dalphin","d005","Engineer","1988-04-23","9999-01-01"
26788,"Zongyan","Dalphin","d005","Senior Engineer","1988-04-23","9999-01-01"
27331,"Wanqing","Krohm","d009","Senior Staff","1991-01-22","9999-01-01"
27331,"Wanqing","Krohm","d009","Staff","1991-01-22","9999-01-01"
27378,"Piyawadee","Leppanen","d002","Senior Staff","1999-02-25","9999-01-01"
27620,"Shuji","Kandlur","d004","Engineer","1990-03-02","9999-01-01"
27620,"Shuji","Kandlur","d004","Senior Engineer","1990-03-02","9999-01-01"
27686,"Manu","Rosiles","d007","Senior Staff","1998-03-03","9999-01-01"
27699,"Falguni","Pezzoli","d004","Engineer","1996-12-23","9999-01-01"
27767,"Tooru","Veldwijk","d009","Senior Staff","1993-11-21","9999-01-01"
27767,"Tooru","Veldwijk","d009","Staff","1993-11-21","9999-01-01"
28193,"Xinglin","Mitsuhashi","d005","Engineer","1988-12-14","9999-01-01"
28193,"Xinglin","Mitsuhashi","d005","Senior Engineer","1988-12-14","9999-01-01"
28974,"Chenxi","Sundgren","d005","Senior Engineer","1986-09-02","9999-01-01"
28988,"Tua","Giveon","d004","Technique Leader","1998-09-09","9999-01-01"
29130,"Xumin","Thorensen","d001","Staff","1998-04-26","9999-01-01"
29265,"Gilbert","Calkin","d009","Senior Staff","1988-03-21","9999-01-01"
29265,"Gilbert","Calkin","d009","Staff","1988-03-21","9999-01-01"
29380,"Satoru","Vidal","d004","Assistant Engineer","1998-05-02","9999-01-01"
29418,"Valery","Mersereau","d004","Assistant Engineer","1998-07-01","9999-01-01"
29679,"Kolar","Steenbeek","d005","Senior Engineer","1986-10-18","9999-01-01"
29782,"Jouko","Hellwagner","d004","Senior Engineer","2000-10-23","9999-01-01"
29954,"Pranay","Giarratana","d004","Senior Engineer","1992-09-29","9999-01-01"
30007,"Kousuke","Vecchio","d004","Engineer","1990-02-23","9999-01-01"
30007,"Kousuke","Vecchio","d004","Senior Engineer","1990-02-23","9999-01-01"
30035,"Tetsushi","Conta","d008","Senior Staff","1995-07-04","9999-01-01"
30154,"Mayuko","Skafidas","d005","Technique Leader","1999-04-19","9999-01-01"
30182,"Leon","Potthoff","d005","Engineer","1985-12-08","9999-01-01"
30182,"Leon","Potthoff","d005","Senior Engineer","1985-12-08","9999-01-01"
30465,"Randi","Avouris","d005","Engineer","1986-07-16","9999-01-01"
30465,"Randi","Avouris","d005","Senior Engineer","1986-07-16","9999-01-01"
30484,"Sailaja","Chvatal","d007","Staff","1999-05-18","9999-01-01"
30695,"Gudjon","Majewski","d005","Senior Engineer","1999-10-26","9999-01-01"
30938,"Yakkov","Samarati","d001","Senior Staff","1997-10-10","9999-01-01"
30938,"Yakkov","Samarati","d001","Staff","1997-10-10","9999-01-01"
31147,"Divine","Sidhu","d002","Senior Staff","1989-07-05","9999-01-01"
31188,"Leandro","Gist","d004","Technique Leader","1993-02-03","9999-01-01"
31207,"Abdelwaheb","Dulin","d004","Senior Engineer","1993-08-05","9999-01-01"
31341,"Oksana","Zultner","d002","Senior Staff","1991-03-23","9999-01-01"
31341,"Oksana","Zultner","d002","Staff","1991-03-23","9999-01-01"
31514,"Harngdar","Schapire","d005","Engineer","1996-11-09","9999-01-01"
31514,"Harngdar","Schapire","d005","Senior Engineer","1996-11-09","9999-01-01"
31568,"Mark","Lalonde","d001","Staff","1996-11-24","9999-01-01"
31909,"Murthy","Peek","d004","Engineer","2000-10-30","9999-01-01"
32347,"Terresa","Peres","d001","Senior Staff","1990-09-15","9999-01-01"
32347,"Terresa","Peres","d001","Staff","1990-09-15","9999-01-01"
32552,"Atreye","Stanger","d005","Assistant Engineer","1993-09-10","9999-01-01"
32552,"Atreye","Stanger","d005","Engineer","1993-09-10","9999-01-01"
32649,"Ingmar","Nannarelli","d008","Senior Staff","1988-06-10","9999-01-01"
32714,"Radoslaw","Maliniak","d001","Staff","2001-09-18","9999-01-01"
32844,"Tadahiko","Melton","d005","Engineer","1995-01-07","9999-01-01"
33025,"Jessie","Thorelli","d009","Senior Staff","1999-12-16","9999-01-01"
33215,"Steen","Fasbender","d004","Technique Leader","1993-02-14","9999-01-01"
33722,"Anwar","Collette","d008","Senior Engineer","2001-02-03","9999-01-01"
34077,"Angel","Sichman","d007","Senior Staff","1988-11-16","9999-01-01"
34077,"Angel","Sichman","d007","Staff","1988-11-16","9999-01-01"
34261,"Kyoichi","Callaway","d003","Senior Staff","1990-12-30","9999-01-01"
34261,"Kyoichi","Callaway","d003","Staff","1990-12-30","9999-01-01"
34446,"Chinhyun","Bauknecht","d005","Senior Engineer","1986-12-19","9999-01-01"
34452,"Naftaly","Foong","d004","Engineer","1991-05-10","9999-01-01"
34452,"Naftaly","Foong","d004","Senior Engineer","1991-05-10","9999-01-01"
34505,"Felicidad","Kumaresan","d007","Senior Staff","1994-09-06","9999-01-01"
34505,"Felicidad","Kumaresan","d007","Staff","1994-09-06","9999-01-01"
34533,"Erzsebet","Shigei","d006","Senior Engineer","1995-01-16","9999-01-01"
34780,"Moni","Kohling","d007","Staff","2001-09-18","9999-01-01"
34788,"Ennio","Babu","d004","Senior Engineer","1994-08-31","9999-01-01"
34936,"Bokyung","Stamatiou","d004","Technique Leader","1991-02-12","9999-01-01"
35044,"Jiang","Waschkowski","d004","Engineer","1989-05-27","9999-01-01"
35044,"Jiang","Waschkowski","d004","Senior Engineer","1989-05-27","9999-01-01"
35087,"Leif","Ashish","d009","Senior Staff","1994-10-14","9999-01-01"
35087,"Leif","Ashish","d009","Staff","1994-10-14","9999-01-01"
35441,"Chandrasekaran","Peek","d008","Engineer","1990-09-17","9999-01-01"
35441,"Chandrasekaran","Peek","d008","Senior Engineer","1990-09-17","9999-01-01"
35642,"Ashish","Talmon","d006","Engineer","1999-02-28","9999-01-01"
35642,"Ashish","Talmon","d006","Senior Engineer","1999-02-28","9999-01-01"
35793,"Oscar","Kusalik","d009","Senior Staff","1991-05-11","9999-01-01"
35793,"Oscar","Kusalik","d009","Staff","1991-05-11","9999-01-01"
35798,"Ulf","Oberman","d005","Senior Engineer","1997-03-15","9999-01-01"
36521,"Serif","Gladwell","d002","Senior Staff","1987-03-06","9999-01-01"
36521,"Serif","Gladwell","d002","Staff","1987-03-06","9999-01-01"
36626,"Fen","Genin","d007","Senior Staff","1986-05-09","9999-01-01"
36733,"Uma","Reinhard","d009","Staff","1997-11-01","9999-01-01"
36844,"Hailing","Levergood","d009","Staff","2000-01-12","9999-01-01"
36982,"Kotesh","Rajala","d006","Engineer","1992-06-23","9999-01-01"
36982,"Kotesh","Rajala","d006","Senior Engineer","1992-06-23","9999-01-01"
37070,"Jeong","Undy","d009","Senior Staff","1985-02-13","9999-01-01"
37070,"Jeong","Undy","d009","Staff","1985-02-13","9999-01-01"
37945,"Suzette","Butterworth","d005","Senior Engineer","1994-02-19","9999-01-01"
38043,"Michaela","Randi","d005","Engineer","1985-11-23","9999-01-01"
38043,"Michaela","Randi","d005","Senior Engineer","1985-11-23","9999-01-01"
38103,"Masasuke","Babu","d004","Engineer","1988-03-31","9999-01-01"
38103,"Masasuke","Babu","d004","Senior Engineer","1988-03-31","9999-01-01"
38168,"Fumiko","Deverell","d007","Senior Staff","1987-08-15","9999-01-01"
38168,"Fumiko","Deverell","d007","Staff","1987-08-15","9999-01-01"
38550,"JoAnne","Baez","d006","Senior Engineer","1987-02-16","9999-01-01"
38593,"Huei","Orsini","d004","Engineer","1986-06-04","9999-01-01"
38593,"Huei","Orsini","d004","Senior Engineer","1986-06-04","9999-01-01"
38947,"Shuichi","Ruemmler","d001","Senior Staff","1998-04-08","9999-01-01"
38947,"Shuichi","Ruemmler","d001","Staff","1998-04-08","9999-01-01"
39000,"Martijn","Vendrig","d008","Senior Staff","1997-03-03","9999-01-01"
39000,"Martijn","Vendrig","d008","Staff","1997-03-03","9999-01-01"
39036,"Changho","Cappelli","d003","Staff","1996-05-04","9999-01-01"
39301,"Rimon","Kawashima","d008","Senior Staff","1992-02-06","9999-01-01"
39301,"Rimon","Kawashima","d008","Staff","1992-02-06","9999-01-01"
39341,"Mahmut","Lampe","d004","Engineer","1985-05-11","9999-01-01"
39341,"Mahmut","Lampe","d004","Senior Engineer","1985-05-11","9999-01-01"
